Default channel group,Year,Day,Sessions
Organic Search,2024,3,21912
Organic Search,2024,2,21566
Organic Search,2024,29,20701
Organic Search,2024,22,20450
Organic Search,2024,1,20080
Organic Search,2024,5,20044
Organic Search,2024,23,19746
Organic Search,2024,12,19606
Organic Search,2024,13,19454
Organic Search,2024,6,19430
Organic Search,2024,9,19343
Organic Search,2024,19,19329
Organic Search,2024,20,19197
Organic Search,2024,8,19188
Organic Search,2024,27,19166
Organic Search,2024,10,19161
Organic Search,2024,24,18920
Organic Search,2024,15,18890
Organic Search,2024,18,18692
Organic Search,2024,26,18689
Organic Search,2024,16,18647
Organic Search,2024,17,18242
Organic Search,2024,30,17836
Organic Search,2024,4,17811
Organic Search,2024,11,17725
Organic Search,2024,7,17398
Organic Search,2024,28,17389
Organic Search,2024,21,17283
Organic Search,2024,25,17241
Organic Search,2024,14,17148
Organic Search,2024,31,10701
Organic Search,2025,22,10214
Organic Search,2025,3,10137
Organic Search,2025,1,10000
Organic Search,2025,2,9888
Organic Search,2025,28,9868
Organic Search,2025,24,9754
Organic Search,2025,21,9699
Organic Search,2025,8,9643
Organic Search,2025,17,9558
Organic Search,2025,25,9504
Organic Search,2025,7,9501
Organic Search,2025,18,9443
Organic Search,2025,6,9415
Organic Search,2025,29,9372
Organic Search,2025,20,9348
Organic Search,2025,11,9254
Organic Search,2025,19,9237
Organic Search,2025,26,9217
Organic Search,2025,15,9183
Organic Search,2025,10,9164
Organic Search,2025,5,9090
Organic Search,2025,14,9089
Organic Search,2025,23,9032
Organic Search,2025,16,9014
Organic Search,2025,13,9005
Organic Search,2025,4,8893
Organic Search,2025,12,8821
Organic Search,2025,27,8788
Organic Search,2025,9,8702
Organic Search,2025,30,8679
Paid Search,2024,3,8321
Paid Search,2024,13,8097
Paid Search,2024,29,7981
Paid Search,2024,27,7873
Paid Search,2024,5,7843
Paid Search,2024,23,7794
Paid Search,2024,12,7793
Paid Search,2024,22,7787
Paid Search,2024,20,7780
Paid Search,2024,8,7755
Paid Search,2024,19,7755
Paid Search,2024,2,7749
Paid Search,2024,16,7681
Paid Search,2024,9,7642
Paid Search,2024,10,7565
Paid Search,2024,11,7555
Paid Search,2024,15,7541
Paid Search,2024,18,7536
Paid Search,2024,6,7496
Paid Search,2024,17,7390
Paid Search,2024,24,7378
Paid Search,2024,1,7366
Paid Search,2024,26,7284
Paid Search,2024,14,7135
Paid Search,2024,30,7106
Paid Search,2024,28,7041
Paid Search,2024,25,6924
Paid Search,2024,4,6876
Paid Search,2024,7,6777
Paid Search,2024,21,6763
Paid Search,2025,22,5662
Paid Search,2025,24,5485
Organic Search,2025,31,5436
Paid Search,2025,19,5392
Paid Search,2025,20,5346
Paid Search,2025,21,5270
Paid Search,2025,25,5115
Paid Search,2025,6,5032
Paid Search,2025,18,5015
Paid Search,2025,23,4998
Paid Search,2025,17,4961
Paid Search,2025,7,4922
Paid Search,2025,8,4897
Paid Search,2025,15,4894
Paid Search,2025,14,4828
Paid Search,2025,29,4808
Paid Search,2025,26,4793
Paid Search,2025,1,4737
Paid Search,2025,28,4706
Paid Search,2025,27,4705
Paid Search,2025,16,4632
Paid Search,2025,13,4614
Paid Search,2025,3,4567
Paid Search,2024,31,4521
Paid Search,2025,10,4435
Paid Search,2025,12,4395
Paid Search,2025,2,4380
Paid Search,2025,11,4334
Paid Search,2025,9,4318
Paid Search,2025,5,4239
Paid Search,2025,30,4221
Paid Search,2025,4,4079
Cross-network,2024,24,3201
Cross-network,2024,27,3173
Cross-network,2024,29,3116
Cross-network,2024,20,3093
Cross-network,2024,23,3077
Cross-network,2024,19,3029
Cross-network,2024,22,2994
Cross-network,2024,18,2942
Cross-network,2024,6,2932
Cross-network,2024,30,2926
Cross-network,2024,3,2918
Cross-network,2024,10,2904
Cross-network,2024,21,2861
Cross-network,2024,26,2845
Cross-network,2024,9,2829
Cross-network,2024,15,2826
Cross-network,2024,28,2825
Cross-network,2024,5,2814
Cross-network,2024,25,2811
Cross-network,2024,2,2799
Cross-network,2024,14,2777
Cross-network,2024,17,2766
Cross-network,2024,16,2765
Cross-network,2024,13,2762
Cross-network,2024,12,2761
Cross-network,2024,8,2738
Cross-network,2024,1,2703
Cross-network,2024,11,2700
Cross-network,2024,7,2509
Cross-network,2024,4,2501
Paid Social,2025,16,2210
Paid Social,2025,17,2185
Paid Search,2025,31,2173
Paid Social,2025,13,2165
Direct,2024,1,2095
Cross-network,2024,31,2091
Paid Social,2025,14,2018
Direct,2024,17,2012
Direct,2024,2,1978
Direct,2024,15,1977
Paid Social,2025,29,1908
Direct,2024,19,1903
Direct,2024,6,1896
Direct,2024,20,1881
Direct,2024,16,1869
Paid Social,2025,26,1836
Paid Social,2025,28,1829
Direct,2024,21,1775
Paid Social,2025,30,1762
Direct,2024,13,1708
Direct,2024,30,1690
Paid Social,2025,18,1681
Direct,2024,12,1676
Paid Social,2025,12,1647
Paid Social,2025,27,1643
Paid Social,2025,31,1626
Direct,2024,3,1607
Direct,2024,10,1603
Direct,2024,11,1597
Direct,2024,18,1578
Direct,2024,26,1551
Direct,2024,5,1533
Paid Social,2025,7,1520
Paid Social,2025,15,1498
Paid Social,2025,6,1495
Direct,2024,23,1495
Direct,2024,29,1481
Paid Social,2025,11,1468
Paid Social,2025,24,1464
Paid Social,2025,8,1449
Paid Social,2025,9,1423
Direct,2025,8,1422
Paid Social,2025,19,1419
Direct,2024,9,1415
Paid Social,2025,20,1406
Direct,2025,15,1382
Direct,2024,14,1378
Direct,2024,27,1350
Direct,2024,28,1343
Direct,2024,4,1332
Paid Social,2025,10,1324
Direct,2024,8,1315
Direct,2024,24,1285
Direct,2024,22,1283
Paid Social,2025,23,1239
Direct,2024,7,1231
Direct,2025,16,1195
Organic Video,2025,26,1190
Direct,2024,25,1188
Paid Social,2025,25,1183
Organic Video,2025,20,1182
Paid Social,2025,1,1169
Paid Social,2025,5,1147
Paid Social,2025,21,1138
Organic Video,2025,19,1125
Direct,2025,10,1117
Direct,2025,13,1112
Paid Social,2025,22,1112
Organic Video,2025,27,1096
Organic Social,2025,26,1089
Organic Search,2026,2,1086
Direct,2025,4,1067
Organic Video,2025,22,1064
Direct,2025,1,1060
Direct,2025,17,1060
Direct,2025,12,1056
Direct,2025,3,1053
Direct,2025,27,1038
Organic Social,2025,29,1038
Direct,2025,29,1036
Direct,2025,18,1024
Organic Video,2025,25,1024
Direct,2025,11,1018
Direct,2025,9,1012
Paid Other,2025,27,1000
Organic Video,2025,29,973
Organic Social,2025,24,972
Organic Video,2025,24,970
Paid Social,2025,2,965
Direct,2025,6,961
Organic Video,2025,23,947
Direct,2025,5,942
Direct,2025,7,931
Direct,2025,23,931
Direct,2025,21,910
Direct,2025,20,905
Direct,2025,22,890
Direct,2024,31,887
Organic Social,2025,19,879
Direct,2025,14,877
Direct,2025,28,877
Organic Social,2025,22,861
Paid Social,2024,30,843
Direct,2025,30,841
Direct,2025,19,838
Organic Social,2025,23,831
Organic Search,2026,3,828
Organic Search,2026,9,827
Paid Social,2024,27,822
Organic Search,2026,10,821
Direct,2025,2,820
Organic Search,2026,5,816
Paid Social,2024,26,812
Paid Social,2024,28,807
Direct,2025,26,779
Direct,2025,24,775
Paid Social,2024,23,772
Paid Social,2025,3,767
Organic Search,2026,7,755
Paid Social,2024,29,753
Paid Social,2024,24,741
Organic Social,2025,20,740
Organic Search,2026,6,737
Organic Search,2026,12,737
Organic Social,2025,30,734
Paid Social,2024,20,732
Paid Social,2024,22,725
Paid Social,2024,21,719
Organic Social,2025,25,714
Organic Video,2025,21,712
Direct,2025,25,702
Organic Search,2026,8,696
Paid Social,2024,15,688
Organic Video,2025,28,682
Paid Social,2024,17,675
Paid Social,2024,25,664
Paid Social,2024,18,648
Organic Social,2025,1,646
Paid Social,2024,16,627
Paid Social,2024,10,611
Paid Social,2024,19,606
Paid Social,2025,4,602
Paid Social,2024,1,594
Paid Social,2024,12,592
Paid Social,2024,3,589
Paid Social,2024,11,582
Direct,2025,31,581
Paid Social,2024,2,568
Paid Social,2024,14,562
Paid Social,2024,13,554
Paid Social,2024,8,553
Paid Search,2026,2,545
Referral,2025,23,540
Paid Search,2026,10,522
Paid Social,2024,4,520
Paid Social,2024,9,517
Paid Social,2024,31,505
Organic Search,2026,4,498
Paid Social,2024,6,494
Paid Social,2024,7,489
Paid Social,2024,5,485
Paid Search,2026,9,482
Cross-network,2025,21,478
Cross-network,2025,18,476
Cross-network,2025,22,472
Cross-network,2025,24,459
Cross-network,2025,20,457
Cross-network,2025,8,447
Cross-network,2025,17,447
Referral,2025,1,445
Cross-network,2025,3,438
Cross-network,2025,23,437
Cross-network,2025,4,435
Organic Search,2026,11,435
Paid Search,2026,12,435
Paid Search,2026,5,432
Cross-network,2025,7,430
Cross-network,2025,25,430
Cross-network,2025,16,415
Cross-network,2025,9,414
Cross-network,2025,2,413
Paid Search,2026,3,412
Cross-network,2025,6,412
Cross-network,2025,19,406
Cross-network,2025,11,402
Paid Search,2026,7,400
Referral,2025,22,400
Cross-network,2025,28,399
Cross-network,2025,14,398
Cross-network,2025,5,393
Paid Search,2026,6,393
Cross-network,2025,15,388
Paid Search,2026,8,384
Organic Social,2025,2,382
Organic Social,2025,18,382
Cross-network,2025,27,381
Cross-network,2025,10,366
Cross-network,2025,30,360
Cross-network,2025,12,357
Organic Social,2025,21,355
Cross-network,2025,13,347
Referral,2025,19,347
Cross-network,2025,26,346
Cross-network,2025,1,345
Referral,2025,30,344
Referral,2025,21,333
Referral,2025,20,323
Organic Social,2025,28,318
Organic Search,2026,1,313
Cross-network,2025,29,300
Paid Search,2026,4,296
Organic Social,2024,22,294
Organic Social,2024,27,290
Organic Social,2024,20,288
Paid Search,2026,11,285
Organic Social,2024,24,285
Organic Social,2024,10,281
Organic Social,2024,2,278
Organic Social,2024,18,278
Organic Social,2024,3,277
Organic Social,2024,19,269
Organic Social,2024,13,268
Organic Social,2025,8,265
Organic Social,2024,29,259
Referral,2024,2,258
Organic Social,2024,26,255
Organic Social,2024,14,254
Organic Social,2024,1,253
Organic Social,2024,15,253
Organic Social,2024,25,253
Referral,2024,9,252
Referral,2024,7,251
Organic Social,2024,11,251
Organic Social,2024,7,246
Referral,2024,8,246
Referral,2024,29,246
Organic Social,2024,23,245
Organic Social,2024,30,245
Organic Social,2024,28,242
Organic Social,2024,12,240
Organic Social,2024,6,237
Organic Social,2024,21,237
Referral,2024,10,236
Referral,2024,1,234
Direct,2026,2,234
Direct,2026,5,234
Organic Social,2024,8,234
Organic Social,2024,16,234
Organic Social,2024,4,230
Cross-network,2025,31,230
Referral,2024,22,227
Referral,2025,25,227
Referral,2024,5,226
Referral,2024,13,226
Direct,2026,6,224
Referral,2024,3,222
Organic Social,2024,17,222
Referral,2024,27,222
Organic Social,2025,10,221
Referral,2024,11,221
Referral,2024,18,221
Organic Social,2024,9,219
Referral,2024,25,218
Organic Social,2024,5,217
Referral,2024,4,213
Referral,2024,26,212
Referral,2024,12,211
Referral,2024,23,211
Referral,2024,16,210
Organic Social,2025,9,209
Organic Social,2025,6,207
Referral,2024,19,206
Organic Social,2025,11,205
Direct,2026,10,204
Unassigned,2025,25,204
Organic Social,2025,16,203
Referral,2024,21,202
Referral,2024,30,202
Direct,2026,3,201
Organic Social,2025,7,199
Referral,2024,20,199
Organic Social,2025,4,198
Referral,2024,6,198
Referral,2024,14,198
Paid Search,2026,1,194
Referral,2025,18,193
Referral,2024,15,192
Organic Social,2025,12,191
Referral,2025,24,189
Direct,2026,7,188
Referral,2024,17,186
Referral,2024,24,182
Organic Social,2025,5,179
Organic Social,2025,3,175
Referral,2024,28,175
Referral,2025,2,169
Direct,2026,12,168
Organic Social,2025,15,161
Organic Social,2025,17,161
Organic Social,2025,13,159
Organic Social,2025,27,159
Unassigned,2025,23,158
Organic Social,2025,14,155
Direct,2026,8,154
Direct,2026,9,150
Referral,2024,31,129
Organic Social,2024,31,125
Referral,2025,7,122
Referral,2025,16,122
Unassigned,2025,13,119
Referral,2025,4,118
Referral,2025,26,118
Referral,2025,28,118
Referral,2025,29,117
Referral,2025,11,116
Direct,2026,4,115
Unassigned,2025,20,115
Unassigned,2024,26,115
Referral,2025,10,114
Referral,2025,3,113
Referral,2025,27,108
Referral,2025,5,106
Referral,2025,8,106
Unassigned,2025,19,106
Referral,2025,12,105
Referral,2025,17,104
Referral,2025,15,103
Referral,2025,9,102
Direct,2026,11,102
Referral,2025,13,101
Referral,2025,14,97
Unassigned,2025,21,93
Direct,2026,1,91
Referral,2025,6,90
Email,2024,28,79
Organic Social,2025,31,79
Unassigned,2025,30,78
Unassigned,2024,6,77
Organic Video,2025,1,75
Mobile Push Notifications,2025,20,74
Email,2024,27,70
Unassigned,2025,26,59
Unassigned,2025,4,57
Unassigned,2025,22,56
Unassigned,2025,27,55
Unassigned,2025,9,54
Unassigned,2025,18,53
Unassigned,2025,12,51
Referral,2025,31,51
Unassigned,2025,16,50
Unassigned,2025,3,49
Unassigned,2024,12,49
Organic Video,2025,18,49
Unassigned,2025,2,48
Unassigned,2025,14,46
Unassigned,2025,17,41
Paid Social,2026,7,40
Unassigned,2025,1,39
Unassigned,2025,6,39
Unassigned,2025,31,39
Unassigned,2025,5,38
Unassigned,2025,24,38
Organic Social,2026,5,36
Unassigned,2024,28,36
Paid Social,2026,4,35
Organic Social,2026,7,35
Unassigned,2025,7,34
Organic Social,2026,9,34
Unassigned,2025,11,34
Organic Social,2026,12,34
Unassigned,2025,15,34
Organic Social,2026,6,33
Organic Social,2026,11,33
Paid Social,2026,6,32
Paid Social,2026,8,32
Unassigned,2025,8,32
Paid Social,2026,12,32
Unassigned,2025,28,32
Unassigned,2025,29,32
Paid Social,2026,3,31
Unassigned,2025,10,31
Paid Social,2026,10,30
Paid Social,2026,11,30
Paid Social,2026,2,29
Unassigned,2026,9,29
Paid Social,2026,9,28
Unassigned,2024,2,27
Cross-network,2026,6,27
Email,2024,29,27
Organic Social,2026,4,26
Unassigned,2026,11,26
Cross-network,2026,2,24
Organic Social,2026,10,24
Unassigned,2024,27,24
Paid Social,2026,1,23
Organic Social,2026,3,23
Unassigned,2024,1,22
Organic Video,2025,2,22
Organic Social,2026,2,21
Unassigned,2026,7,21
Cross-network,2026,5,20
Unassigned,2026,12,20
Organic Social,2026,8,19
Paid Social,2026,5,18
Cross-network,2026,8,18
Unassigned,2026,10,18
Unassigned,2026,2,16
Unassigned,2026,8,16
Cross-network,2026,10,16
Mobile Push Notifications,2024,29,15
Email,2024,1,14
Organic Social,2026,1,13
Unassigned,2026,4,13
Unassigned,2026,5,13
Cross-network,2026,9,13
Referral,2026,12,13
Unassigned,2024,23,13
Referral,2026,2,12
Cross-network,2026,4,12
Cross-network,2026,7,12
Cross-network,2026,3,11
Unassigned,2026,3,11
Referral,2026,7,11
Email,2024,25,11
Email,2024,30,11
Organic Video,2025,4,10
Organic Video,2025,6,10
Referral,2026,8,10
Cross-network,2026,11,10
Unassigned,2024,14,10
Organic Video,2024,18,10
Organic Video,2025,7,9
Unassigned,2024,8,9
Organic Video,2025,11,9
Cross-network,2026,12,9
Email,2024,16,9
Organic Video,2025,17,9
Unassigned,2024,17,9
Email,2024,3,8
Organic Video,2025,3,8
Email,2024,9,8
Referral,2026,9,8
Organic Video,2025,14,8
Mobile Push Notifications,2024,15,8
Display,2025,16,8
Email,2024,21,8
Email,2024,26,8
Organic Video,2025,30,8
Referral,2026,3,7
Unassigned,2024,3,7
Referral,2026,4,7
Display,2025,7,7
Email,2024,8,7
Email,2024,10,7
Email,2024,18,7
Mobile Push Notifications,2025,18,7
Unassigned,2024,20,7
Display,2025,23,7
Email,2024,24,7
Mobile Push Notifications,2024,30,7
Email,2024,2,6
Referral,2026,5,6
Email,2024,7,6
Organic Video,2024,8,6
Organic Video,2025,8,6
Display,2025,9,6
Referral,2026,10,6
Display,2025,11,6
Email,2024,11,6
Mobile Push Notifications,2024,11,6
Display,2025,12,6
Email,2025,13,6
Organic Video,2025,13,6
Email,2024,15,6
Organic Video,2024,15,6
Display,2025,17,6
Paid Other,2025,20,6
Paid Other,2025,21,6
Organic Video,2024,22,6
Email,2024,23,6
Organic Video,2024,24,6
Paid Video,2024,30,6
Cross-network,2026,1,5
Unassigned,2026,1,5
Email,2024,4,5
Display,2025,5,5
Display,2025,6,5
Referral,2026,6,5
Unassigned,2026,6,5
Unassigned,2024,7,5
Email,2025,8,5
Organic Video,2025,9,5
Organic Video,2024,11,5
Email,2024,12,5
Email,2025,14,5
Mobile Push Notifications,2024,14,5
Organic Video,2024,14,5
Email,2025,15,5
Email,2025,17,5
Display,2025,18,5
Paid Video,2024,18,5
Organic Video,2024,19,5
Paid Video,2024,19,5
Unassigned,2024,21,5
Paid Video,2024,24,5
Organic Video,2024,25,5
Mobile Push Notifications,2025,26,5
Paid Other,2025,26,5
Mobile Push Notifications,2024,28,5
Display,2025,30,5
Email,2025,2,4
Email,2025,4,4
Unassigned,2024,4,4
Email,2024,5,4
Mobile Push Notifications,2024,5,4
Organic Video,2025,5,4
Paid Video,2024,5,4
Paid Video,2024,7,4
Display,2025,8,4
Email,2026,9,4
Organic Video,2024,9,4
Display,2025,10,4
Organic Video,2024,12,4
Organic Video,2025,12,4
Organic Video,2024,13,4
Display,2025,15,4
Organic Video,2025,15,4
Email,2025,16,4
Organic Video,2024,16,4
Paid Other,2025,16,4
Display,2024,17,4
Organic Video,2024,17,4
Email,2025,18,4
Paid Other,2025,19,4
Display,2025,20,4
Organic Video,2024,20,4
Display,2025,22,4
Email,2025,22,4
Paid Other,2025,22,4
Mobile Push Notifications,2024,23,4
Organic Video,2024,23,4
Mobile Push Notifications,2024,24,4
Mobile Push Notifications,2024,25,4
Paid Other,2025,25,4
Mobile Push Notifications,2024,26,4
Paid Video,2024,28,4
Display,2025,29,4
Unassigned,2024,30,4
Display,2025,31,4
Email,2024,31,4
Paid Video,2024,31,4
Display,2025,1,3
Display,2025,2,3
Display,2025,3,3
Mobile Push Notifications,2024,4,3
Organic Video,2024,5,3
Email,2024,6,3
Email,2025,6,3
Email,2025,7,3
Mobile Push Notifications,2024,7,3
Paid Other,2025,7,3
Paid Video,2024,8,3
Paid Video,2024,9,3
Unassigned,2024,9,3
Paid Video,2024,11,3
Unassigned,2024,11,3
Email,2025,12,3
Paid Video,2024,12,3
Display,2025,13,3
Mobile Push Notifications,2025,13,3
Display,2025,14,3
Email,2024,14,3
Mobile Push Notifications,2024,16,3
Organic Video,2025,16,3
Display,2024,19,3
Display,2025,19,3
Display,2024,20,3
Email,2025,20,3
Email,2025,21,3
Paid Video,2024,22,3
Email,2025,23,3
Paid Video,2024,23,3
Display,2025,24,3
Email,2025,26,3
Organic Video,2024,26,3
Organic Video,2024,28,3
Display,2024,1,2
Email,2025,1,2
Paid Video,2024,1,2
Mobile Push Notifications,2025,3,2
Paid Video,2024,4,2
Email,2025,5,2
Email,2026,5,2
Unassigned,2024,5,2
Audio,2025,6,2
Display,2024,8,2
Mobile Push Notifications,2024,8,2
Paid Other,2025,8,2
Display,2024,9,2
Mobile Push Notifications,2024,10,2
Organic Video,2024,10,2
Organic Video,2025,10,2
Email,2025,11,2
Mobile Push Notifications,2024,12,2
Paid Other,2025,12,2
Email,2024,13,2
Paid Video,2024,13,2
Display,2024,14,2
Paid Video,2024,14,2
Paid Video,2024,15,2
Paid Video,2025,15,2
Unassigned,2024,15,2
Display,2024,16,2
Paid Video,2024,16,2
Email,2024,17,2
Mobile Push Notifications,2024,17,2
Paid Video,2025,17,2
Paid Other,2025,18,2
Paid Video,2025,18,2
Unassigned,2024,18,2
Email,2024,19,2
Mobile Push Notifications,2024,19,2
Mobile Push Notifications,2025,19,2
Paid Other,2024,19,2
Mobile Push Notifications,2024,20,2
Paid Video,2024,20,2
Display,2025,21,2
Mobile Push Notifications,2024,21,2
Organic Video,2024,21,2
Paid Video,2024,21,2
Email,2024,22,2
Unassigned,2024,22,2
Paid Other,2025,24,2
Display,2024,25,2
Display,2025,25,2
Display,2024,26,2
Display,2025,26,2
Display,2025,27,2
Email,2025,27,2
Mobile Push Notifications,2024,27,2
Mobile Push Notifications,2025,27,2
Paid Video,2025,27,2
Display,2025,28,2
Email,2025,28,2
Mobile Push Notifications,2025,29,2
Paid Other,2025,29,2
Paid Video,2024,29,2
Display,2024,30,2
Mobile Push Notifications,2025,30,2
Organic Video,2024,30,2
Email,2025,31,2
Unassigned,2024,31,2
Email,2026,1,1
Mobile Push Notifications,2024,1,1
Mobile Push Notifications,2025,1,1
Paid Other,2025,1,1
Paid Other,2026,1,1
Referral,2026,1,1
Display,2024,2,1
Email,2026,2,1
Mobile Push Notifications,2024,2,1
Paid Other,2024,2,1
Paid Video,2024,2,1
Paid Video,2025,2,1
Email,2025,3,1
Email,2026,3,1
Mobile Push Notifications,2024,3,1
Paid Video,2024,3,1
Display,2025,4,1
Email,2026,4,1
Mobile Push Notifications,2025,4,1
Paid Other,2025,4,1
Organic Shopping,2025,5,1
Display,2024,6,1
Email,2026,6,1
Mobile Push Notifications,2024,6,1
Organic Video,2024,6,1
Paid Other,2025,6,1
Email,2026,7,1
Organic Video,2024,7,1
Audio,2025,8,1
Email,2026,8,1
Mobile Push Notifications,2025,8,1
Mobile Push Notifications,2024,9,1
Mobile Push Notifications,2025,9,1
Paid Other,2025,9,1
Paid Video,2025,9,1
Mobile Push Notifications,2025,10,1
Paid Video,2024,10,1
Unassigned,2024,10,1
Paid Other,2025,11,1
Email,2026,12,1
Paid Other,2024,12,1
Paid Other,2026,12,1
Paid Video,2025,12,1
Mobile Push Notifications,2024,13,1
Paid Other,2024,13,1
Paid Other,2025,13,1
Paid Video,2025,13,1
Unassigned,2024,13,1
Mobile Push Notifications,2025,14,1
Paid Other,2024,14,1
Paid Other,2025,14,1
Paid Other,2024,15,1
Paid Other,2025,15,1
Unassigned,2024,16,1
Paid Other,2025,17,1
Paid Video,2024,17,1
Paid Other,2024,18,1
Email,2025,19,1
Email,2024,20,1
Mobile Push Notifications,2025,21,1
Paid Video,2025,21,1
Audio,2025,22,1
Mobile Push Notifications,2024,22,1
Display,2024,23,1
Display,2024,24,1
Email,2025,24,1
Unassigned,2024,24,1
Paid Video,2024,25,1
Organic Video,2024,27,1
Paid Video,2024,27,1
Organic Video,2024,29,1
Unassigned,2024,29,1
Email,2025,30,1
Mobile Push Notifications,2024,31,1
Mobile Push Notifications,2025,31,1
Organic Video,2024,31,1
Paid Other,2024,31,1
